-04: -------------------------------- --------------------------------
-03: -------------------------------- --------------------------------
-02: -------------------------------- --------------------------------
-01: -------------------------------- --------------------------------
+00: -------------------------------- -------------------------------- --------------------------------
+01: -------------------------------- -------------------------------- --------------------------------
+02: -------------------------------- -------------------------------- --------------------------------
+03: -------------------------------- -------------------------------- --------------------------------
+04: -------------------------------- -------------------------------- --------------------------------
+05: -------------------------------- -------------------------------- --------------------------------
+06: -------------------------------- -------------------------------- --------------------------------
+07: --------x?x??n-?-x?-?x-x----x--- n-?--xu--u----?---------xx?---n- ----x---x-?-----nu-?nxx-----un-u
+08: -------?-?--------------?------- --n--------x??u--x------?------- ----------x-----------------?-?-
+09: ------------------------------?- ----------?-----------------n--- --------------------------------
+10: -------------------------------- ----?---------------?------?---- --------------------------------
+11: -------------------------------- -------------?---?-------------- --------------------------------
+12: -------------------------------- --n?-?-x-------?-----?---------- ?--------x------------------x?--
+13: -------------------------------- -??----?------------------------ --------------------------------
+14: -------------------------------- -------------------------------- --------------------------------
+15: -------------------------------- -------------------------------- ------x---------?------x-------?
+16: -------------------------------- -------------------------------- --------------------------------
+17: -------------------------------- -------------------------------- -------------------?------------
+18: -------------------------------- -------------------------------- --------------------------------
+19: -------------------------------- -------------------------------- --------------------------------
+20: -------------------------------- -------------------------------- --------------------------------
+21: -------------------------------- -------------------------------- --------------------------------
+22: -------------------------------- -------------------------------- --------------------------------
+23: -------------------------------- -------------------------------- --------------------------------
+24: -------------------------------- -------------------------------- --------------------------------
+25: -------------------------------- -------------------------------- --------------------------------
+26: -------------------------------- -------------------------------- --------------------------------
